id_non_specifié,nom_non_specifié,localisation,type_non_specifié
150,,,ville
L901,Grèce non_specifié de création,,non_specifié
L148,Russie non_specifié de création,,non_specifié
L1843,non_specifié d'exécution,,non_specifié
L1840,non_specifié d'exécution non_specifié de création,,non_specifié
L973,non_specifié d'utilisation,,non_specifié
L1408,non_specifié de création,,non_specifié
L1615,non_specifié de publication,,non_specifié
L985,53,,non_specifié
L1496, non_specifié d'utilisation,,non_specifié
L4013, non_specifié de création,,non_specifié
266,Abbeville,50.104441, 1.834007,ville
L743,Ablis,,non_specifié
L4406,AblonsurSeine,,non_specifié
L2968,Abyssinie,,non_specifié
L2863,Achaïe,,non_specifié
L1217,Achey,,non_specifié
L4485,Afghanistan  Kaboul,,non_specifié
L1008,Afrique,,non_specifié
L3352,Afrique centrale,,non_specifié
L1572,Afrique de l'Ouest,,non_specifié
L4442,Afrique du Nord,,non_specifié
L2668,Afrique du Nord, Tunisie, Utique,,non_specifié
L2762,Afrique du Sud,,non_specifié
L4105,Afrique du nord,,non_specifié
L1619,Afrique du nord , Tunisie, Tunis,,non_specifié
L1975,Afrique du nord, Egypte, BasseEgypte, Le Caire,,non_specifié
L1740,Afrique du nord, Maghreb, Algérie,,non_specifié
L4513,Afrique du nord, Maghreb, Algérie, Hoggar,,non_specifié
L1137,Afrique du nord, Maghreb, Maroc,,non_specifié
L142,Afrique noire,,non_specifié
L236,Afrique noire, Bénin, Dahomey,,non_specifié
L3572,Afrique subsaharienne,,non_specifié
L82,Afrique,,,non_specifié
L2914,Afrique, Afrique Equatoriale, Gabon, HautOgoué,,non_specifié
L3948,Afrique, Afrique de l'Est, Kenya,,non_specifié
L3490,Afrique, Afrique du Nord, Maroc, Tanger,,non_specifié
L1448,Afrique, Afrique du Nord, Tunisie,,non_specifié
L2278,Afrique, Afrique du NordEst, Egypte,,non_specifié
L1532,Afrique, Afrique du nord,,non_specifié
L506,Afrique, Afrique du nord, , septentrional,,non_specifié
L4030,Afrique, Afrique du nord, Algérie, Alger,,non_specifié
L696,Afrique, Afrique du nord, Egypte, Alexandrie,,non_specifié
L1824,Afrique, Afrique du nord, Israël,,non_specifié
L4318,Afrique, Afrique du nord, Maghreb, Algérie, Ttlemcen[wilaya], Tlemcen,,non_specifié
L1552,Afrique, Afrique du nord, Tunisie, Carthage,,non_specifié
L2312,Afrique, Afrique noire, Djibouti,,non_specifié
L2152,Afrique, Afrique noire, Mascareignes, La Réunion,,non_specifié
L2022,Afrique, Afrique noire, Mascareignes, La Réunion, SaintDenis,,non_specifié
L2520,Afrique, Afrique noire, Mascareignes, île Maurice,,non_specifié
L2954,Afrique, Afrique occidentale,,non_specifié
L2991,Afrique, Algérie, Biskra,,non_specifié
L2105,Afrique, Algérie, Constantine,,non_specifié
L3617,Afrique, Algérie, Kabylie,,non_specifié
L257,Afrique, Algérie, Oran,,non_specifié
L2131,Afrique, Burkina Faso,,non_specifié
L3739,Afrique, Burkina Faso,,,non_specifié
L1146,Afrique, Bénin,,non_specifié
L2047,Afrique, Bénin, Dahomey, Abomey,,non_specifié
L1407,Afrique, Bénin, Dahomey, Cotonou,,non_specifié
L2221,Afrique, Cameroun,,non_specifié
L883,Afrique, Congo,,non_specifié
L3768,Afrique, Congo, Oubanghi,,non_specifié
L1895,Afrique, CongoBrazzaville,,non_specifié
L3269,Afrique, CongoBrazzaville, Brazzaville,,non_specifié
L4317,Afrique, CongoBrazzaville, Gabon,,non_specifié
L78,Afrique, Côte d'Ivoire,,non_specifié
L2301,Afrique, Côte d'Ivoire, Abidjan,,non_specifié
L4342,Afrique, Djibouti, Obock,,non_specifié
L197,Afrique, Egypte, Egypte du Sud,,non_specifié
L2827,Afrique, Egypte, Memphis,,non_specifié
L2811,Afrique, Ethiopie,,non_specifié
L1185,Afrique, Gabon,,non_specifié
L4008,Afrique, Gabon, CongoKinshasa, HautOubangui,,non_specifié
L205,Afrique, Ghana,,non_specifié
L4278,Afrique, Ghana,,non_specifié
L2493,Afrique, GuinéeBissau,,non_specifié
L3726,Afrique, Madagascar,,non_specifié
L3735,Afrique, Mali,,non_specifié
L1194,Afrique, Mali,,non_specifié
L2397,Afrique, Mali, Bamako,,non_specifié
L2810,Afrique, Maroc, Fez,,non_specifié
L3905,Afrique, Maroc, Marrakech,,non_specifié
L3147,Afrique, Mauritanie,,non_specifié
L1252,Afrique, Mauritanie, Port Etienne,,non_specifié
L2504,Afrique, Moyen Congo,,non_specifié
L552,Afrique, Moyen Congo, Souessé,,non_specifié
L87,Afrique, MoyenOrient, Palestine, Ramallah,,non_specifié
L1394,Afrique, Nigeria,,non_specifié
L1272,Afrique, Nigéria,,non_specifié
L2503,Afrique, République du Congo,,non_specifié
L491,Afrique, République démocratique du Congo,,non_specifié
L3581,Afrique, Sierra Leone, Guinée,,non_specifié
L3070,Afrique, Somalie,,non_specifié
L1798,Afrique, Soudan,,non_specifié
L1613,Afrique, Sénégal,,non_specifié
L3792,Afrique, Sénégal, Casamance,,non_specifié
L1148,Afrique, Sénégambie,,non_specifié
L1742,Afrique, Tanzanie, Zanzibar,,non_specifié
L1915,Afrique, Tchad,,non_specifié
L4123,Afrique, Tchad, Ouddaï,,non_specifié
L2269,Afrique, Zaïre,,non_specifié
L3813,Agay,,non_specifié
346,Agde,43.309421, 3.474268,ville
170,Agen,44.202482, 0.618546,ville
L3891,Agen,,non_specifié
L3885,Agrigente,,non_specifié
L4128,Aiguilhe,,non_specifié
L287,Ain  ArssurFormans,,non_specifié
L2454,Ain  BellegardesurValserine,,non_specifié
L1883,Ain  Bouligneux,,non_specifié
L3702,Ain  Culoz,,non_specifié
L1035,Ain  Lapeyrouze,,non_specifié
L3258,Ain  Marboz,,non_specifié
L724,Ain  MontmerlesurSaône,,non_specifié
L291,Ain  Nantua,,non_specifié
L844,Ain  SaintBénigne,,non_specifié
L3408,Ain  SaintTrivierdeCourtes,,non_specifié
L1871,Ain  Villebois,,non_specifié
L1609,Ain, Chalamont,,non_specifié
L3355,AiresurlaLys,,non_specifié
L1909,Aisne  AnizyleChâteau,,non_specifié
L1550,Aisne  BazochessurVesles,,non_specifié
L3309,Aisne  Braine,,non_specifié
L1492,Aisne  BucylèsPierrepont,,non_specifié
L1979,Aisne  Buironfosse,,non_specifié
L2013,Aisne  Chavignon,,non_specifié
L860,Aisne  Chierry,,non_specifié
L52,Aisne  ColligisCrandelain,,non_specifié
L212,Aisne  CoucyLeChâteauAuffrique,,non_specifié
L1649,Aisne  Crouy,,non_specifié
L408,Aisne  CrécysurSerre,,non_specifié
