id_objet,id_domaine
5002E002637,61
5002E002637,200
5002E002637,188
5002E002637,4
5002E002637,74
5002E002637,60
5002E002637,68
5002E002637,57
5002E002638,59
5002E002638,191
5002E002638,123
5002E002638,50
5002E002638,107
5002E002638,134
5002E002638,76
5002E002638,34
5002E002641,141
5002E002641,143
5002E002641,157
5002E002641,66
5002E002641,51
5002E002641,33
5002E002645,73
5002E002645,42
5002E002652,63
5002E002652,53
5002E002668,139
5002E002668,9
5002E002677,189
5002E002677,202
5002E002677,204
5002E002677,12
5002E002677,192
5002E002677,111
5002E002695,179
5002E002695,13
5002E002695,94
5002E002695,58
5002E002695,77
5002E002695,102
5002E002695,69
5002E002695,56
5002E002695,72
5002E002695,100
5002E002695,38
5002E002695,70
5002E002292,46
5002E002292,15
5002E002292,130
5002E002292,75
5002E002292,131
5002E002292,90
5002E002295,81
5002E002295,180
5002E002295,41
5002E002295,25
5002E002309,151
5002E002309,116
5002E002309,8
5002E002309,117
5002E002309,197
5002E002309,106
5002E002312,173
5002E002312,156
5002E002312,96
5002E002312,171
5002E002319,84
5002E002319,93
5002E002319,104
5002E002319,95
5002E011013,36
5002E010028,87
5002E010037,205
5002E002606,21
5002E002606,196
5002E002606,182
5002E002606,194
5002E002606,82
5002E002606,121
5002E002606,23
5002E002606,201
5002E002606,181
5002E002608,135
5002E002608,120
5002E002608,132
5002E002608,10
5002E002608,140
5002E002608,110
5002E002608,89
5002E002608,31
5002E002614,43
5002E002614,64
5002E002614,129
5002E002614,1
5002E002614,184
5002E002614,2
5002E002614,153
5002E002614,126
5002E002614,122
5002E002614,109
5002E002614,159
5002E002614,162
5002E002623,105
5002E002623,145
5002E002623,167
5002E002623,142
5002E002623,118
5002E002623,79
5002E002623,39
5002E002623,71
5002E002199,3
5002E002199,6
5002E002199,37
5002E002199,44
5002E002199,47
5002E002199,86
5002E002201,65
5002E002201,112
5002E002201,101
5002E002201,103
5002E002201,128
5002E002201,30
5002E002205,199
5002E002205,14
5002E002205,164
5002E002205,148
5002E002205,32
5002E002205,40
5002E002209,168
5002E002209,149
5002E002209,18
5002E002209,91
5002E002210,7
5002E002210,119
5002E002210,114
5002E002210,113
5002E002215,92
5002E002215,5
5002E002215,198
5002E002215,163
5002E002219,78
5002E002219,24
5002E002219,176
5002E002219,127
5002E002219,155
5002E002219,124
5002E002219,170
5002E002219,35
5002E002219,174
5002E002222,125
5002E002222,172
5002E002222,97
5002E002222,62
5002E002222,158
5002E002222,45
5002E002222,49
5002E002222,175
5002E002222,26
5002E002226,193
5002E002226,161
5002E002226,108
5002E002226,22
5002E002226,88
5002E002226,152
5002E002226,195
5002E002226,19
5002E002226,11
5002E002236,154
5002E002236,166
5002E002236,85
5002E002236,146
5002E002236,115
5002E002236,178
5002E002238,147
5002E002238,165
5002E002238,29
5002E002238,133
5002E002238,185
5002E002238,203
5002E002242,138
5002E002242,183
5002E002242,190
5002E002242,67
5002E002242,99
5002E002242,169
5002E002242,144
5002E002242,16
5002E002242,54
5002E002245,187
5002E002245,98
5002E002245,177
5002E002245,80
5002E002245,20
5002E002245,55
5002E002250,160
5002E002250,28
5002E002250,27
5002E002250,150
5002E002250,17
5002E002250,136
5002E002252,137
5002E002252,52
5002E002252,48
5002E002252,83
5002E002252,186
5002E002252,
5002E002260,
5002E002264,
5002E002267,
5002E002272,
5002E002275,
5002E002278,
5002E002702,
5002E002750,
5002E002758,
5002E002805,
